ch_name
Fp1
Fpz
Fp2
AF7
AF3
AF4
AF8
F9
F7
F5
F3
F1
Fz
F2
F4
F6
F8
F10
FT9
FT7
FC5
FC3
FC1
FC2
FC4
FC6
FT8
FT10
T7
C5
C3
C1
Cz
C2
C4
C6
T8
TP9
TP7
CP5
CP3
CP1
CPz
CP2
CP4
CP6
TP8
TP10
P9
P7
P5
P3
P1
Pz
P2
P4
P6
P8
P10
PO9
PO7
PO3
POz
PO4
PO8
PO10
O1
Oz
O2
I1
Iz
I2
AFp5h
AFp1h
AFp2h
AFp6h
FFT9h
FFT7h
FFC5h
FFC3h
FFC1h
FFC2h
FFC4h
FFC6h
FFT8h
FFT10h
FTT9h
FTT7h
FCC5h
FCC3h
FCC1h
FCC2h
FCC4h
FCC6h
FTT8h
FTT10h
TTP7h
CCP5h
CCP3h
CCP1h
CCP2h
CCP4h
CCP6h
TTP8h
TPP9h
TPP7h
CPP5h
CPP3h
CPP1h
CPP2h
CPP4h
CPP6h
TPP8h
TPP10h
PPO9h
PPO5h
PPO1h
PPO2h
PPO6h
PPO10h
POO9h
POO10h
OI1h
OI2h
AFp1
AFp2
POO1
POO2
